订单号,下单时间,订单金额,结算金额,京东券优惠,礼品卡优惠,优惠明细（A表示含有订单优惠，B表示只有单品优惠，C表示无优惠）,订单状态,订单类型,
8579686469,2015-02-28 13:54:21,117.00,59.40,0.00,0.00,B【单品促销优惠（1216417435）：57.60】,等待出库,销售订单,
8579778308,2015-02-28 13:45:21,390.00,112.00,0.00,0.00,B【单品促销优惠（1031808396）：278.00】,等待出库,销售订单,
8579696600,2015-02-28 13:35:00,436.00,276.00,0.00,0.00,B【单品促销优惠（1079134370）：160.00】,等待出库,销售订单,
8578597541,2015-02-28 11:32:39,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待出库,销售订单,
8577277207,2015-02-28 10:44:37,128.00,65.00,0.00,0.00,B【单品促销优惠（1031268921）：63.00】,等待出库,销售订单,
8577016183,2015-02-28 10:10:25,298.00,89.00,0.00,0.00,B【单品促销优惠（1071191979）：209.00】,等待出库,销售订单,
8576720550,2015-02-28 09:28:11,278.00,139.00,0.00,0.00,B【单品促销优惠（1031830982）：139.00】,等待出库,销售订单,
8575686239,2015-02-28 05:50:22,360.00,149.70,0.00,0.00,B【单品促销优惠（1336921615）：210.30】,等待出库,销售订单,
8573706687,2015-02-27 22:43:30,289.00,141.80,18.00,0.00,B【单品促销优惠（1030958198）：2.00】【单品促销优惠（1096526806）：35.20】【单品促销优惠（1031826593）：50.00】【单品促销优惠（1353616577）：30.00】【单品促销优惠（1178530987）：30.00】,等待出库,销售订单,
8573658639,2015-02-27 22:37:17,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待出库,销售订单,
8573485670,2015-02-27 22:15:52,718.50,160.00,0.00,0.00,A【单品促销优惠（1096351448）：508.50】【店铺优惠:50.00】,等待出库,销售订单,
8572821767,2015-02-27 20:52:03,337.00,92.80,0.00,0.00,A【单品促销优惠（1160702178）：38.00】【单品促销优惠（1216406256）：19.10】【单品促销优惠（1348189715）：19.10】【单品促销优惠（1116488900）：158.00】【店铺优惠:10.00】,等待出库,销售订单,
8573852644,2015-02-27 20:47:09,128.00,65.00,0.00,0.00,B【单品促销优惠（1031268921）：63.00】,等待出库,销售订单,
8572525158,2015-02-27 20:13:56,218.80,98.80,0.00,0.00,A【店铺优惠:10.00】【单品促销优惠（1031180370）：79.00】【单品促销优惠（1181528621）：11.10】【单品促销优惠（1247998323）：19.90】,等待出库,销售订单,
8573566336,2015-02-27 20:09:41,472.00,150.90,0.00,0.00,A【单品促销优惠（1031864931）：24.10】【单品促销优惠（1031825822）：184.00】【单品促销优惠（1031268921）：63.00】【店铺优惠:50.00】,等待出库,销售订单,
8572199943,2015-02-27 19:28:40,891.00,157.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1096568963）：684.00】,等待出库,销售订单,
8573105080,2015-02-27 19:05:10,891.00,157.00,0.00,0.00,A【单品促销优惠（1096568963）：684.00】【店铺优惠:50.00】,等待出库,销售订单,
8572193209,2015-02-27 17:14:25,92.00,65.90,0.00,0.00,B【单品促销优惠（1079224128）：26.10】,等待出库,销售订单,
8572246652,2015-02-27 17:02:16,278.00,139.00,0.00,139.00,B【单品促销优惠（1031830982）：139.00】,等待出库,销售订单,
8570867422,2015-02-27 16:20:33,92.00,92.00,0,0,C无优惠,等待出库,销售订单,
8571492793,2015-02-27 15:44:21,715.00,168.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1031864369）：138.00】【单品促销优惠（1031808396）：278.00】【单品促销优惠（1323453413）：81.00】,等待出库,销售订单,
8571542260,2015-02-27 15:32:25,636.80,152.00,0.00,0.00,A【单品促销优惠（1096351448）：67.80】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1051105098）：50.00】【单品促销优惠（1096490204）：178.00】【店铺优惠:50.00】,等待出库,销售订单,
8571234865,2015-02-27 15:11:01,148.00,59.00,0.00,0.00,B【单品促销优惠（1038291460）：89.00】,等待出库,销售订单,
